ca_address_sk|ca_street_number|ca_street_name|ca_city|ca_state|ca_zip
1|18|Jackson |Fairfield|AZ|86192
2|362|Washington 6th|Fairview|NM|85709
3|585|Dogwood Washington|Pleasant Valley|PA|12477
4|111|Smith |Oak Ridge|CO|88371
5|31|College |Glendale|MO|63951
6|59|Williams Sixth|Lakeview|WA|98579
7||Hill 7th|Farmington||39145
8|875|Lincoln |Union|TN|38721
9|819|1st Laurel|New Hope|AL|39431
10|851|Woodland Poplar|Martinsville|AK|90419
11|189|13th 2nd|Maple Grove|MT|68252
12|76|Ash 8th|Edgewood|PA|10069
13|424|Main Second|Greenville|MS|51387
14|923|Pine Oak||TX|77752
15|314|Spring |Oakland|OH|49843
16|576|Adams Center|Valley View|TX|75124
17|801|Green |Montpelier|OH|48930
18|460|Maple Spruce|Somerville|SD|57783
19|611|Wilson |Oakdale|LA|79584
20|675|Elm Wilson|Hopewell|OH|40587
21|294|Jefferson Smith|Springfield|SD|59303
22|874|Park Second|Green Acres|NE|67683
23|230|6th Spring|Newtown|KS|61749
24|837|4th |Fairfield|CA|96192
25|986|West East|Pleasant Grove|GA|34136
26|809|Central |Springdale||28883
27|649|Williams |Cedar|UT|81229
28|992|Birch |Oak Hill|CO|87838
29|572|First Elevnth|Newport|IL|61521
30|748|Oak |Wildwood|MO|66871
31|291|East |Forestville|SD|53027
32|243|8th Lake|Oakland|NC|29843
33|711|3rd 4th|Pine Grove|GA|34593
34|785|1st Cedar|Greenville|VA|21387
35|814|Washington Main|Waterloo|VA|21675
36|648|South 15th|Lakeview|TN|38579
37|999|4th |Sumner|SC|20519
38|912|Second Hickory|Plainview|CO|83683
39|13|10th |Hamilton|IA|52808
40|369|2nd Maple|Bridgeport|WA|95817
41|198|Washington |Oakland|CO|89843
42|884|Oak |Riverside|MS|59231
43|762|Spring |Sulphur Springs|IL|68354
44|||||58721
45|206|4th |Union|ME|09321
46|995|Oak |Union Hill|MS|57746
47|776|Washington View|Pleasant Grove|KY|44136
48|895|Valley |Salem|VA|28048
49|583|Highland 2nd|Fairfield|ME|06792
50|190|7th |Enterprise|KS|61757
51|845|5th |Green Acres|TN|37683
52|472|Ridge Park|Oakdale|OH|49584
53|884|College Franklin|Riverview|SD|59003
54|857|10th 10th|Oak Hill|NC|27838
55|177|Lee Adams|Ashland|MI|44244
56|49|Valley 14th|Woodland|MN|54854
57|625|10th Oak|Enterprise|ND|51757
58|917|Miller 15th|Union Hill|ID|87746
59|||Newtown|MT|
60||Lee |Forest Hills|KY|49237
61|159|Ridge |Sulphur Springs|KY|48354
62|925|Lincoln |Riverdale|WV|29391
63|416|Elevnth Green|Midway|KS|61904
